meanR;meanG;meanB;stdR;stdG;stdB;skewR;skewG;skewB;kurR;kurG;kurB;entR;entG;entB;Class
17.39577555;18.05727818;4.548843534;40.81831453;42.74740016;15.23537473;2.080558371;2.11761232;4.194824053;2.786644607;2.922867632;18.93274595;11.3123963;11.30218656;10.86452996;1
17.04893021;17.14396496;4.285857372;41.38946617;42.11627859;14.24351599;2.185737155;2.233317959;4.195780361;3.243244795;3.436645857;19.70010648;11.25699782;11.24231018;10.86753799;1
19.95730091;16.49858427;5.08215645;48.72479457;40.81692085;15.20333481;2.169338146;2.245723144;3.863508556;3.069085937;3.474671385;17.3133744;11.24215612;11.22801316;11.0417937;1
19.71306591;18.02925835;4.707695775;47.48491187;43.62922224;14.23030702;2.1350992;2.147982124;3.987222481;2.920589702;2.926330724;18.95695288;11.26642117;11.26080628;11.03432313;1
17.38391426;14.58123767;4.632718118;46.00666524;38.90038242;14.44671949;2.417030798;2.458250746;3.90399868;4.259136003;4.460186204;17.4388455;11.10342924;11.09426447;10.94428511;1
17.16791867;15.8925396;4.831659501;44.6528736;41.31275668;14.4923097;2.371599282;2.354605154;3.684259351;4.058678423;3.91212631;15.82225191;11.13483284;11.13452169;10.99737738;1
17.30528076;15.02695467;5.006820528;44.08653718;38.37841571;14.7658632;2.319499742;2.318991;3.567916573;3.826149201;3.772411156;14.49818423;11.17266719;11.16883585;11.02721106;1
16.18475908;15.44502743;4.889790973;42.81832756;40.9004137;14.9722386;2.389942691;2.378860596;3.743282802;4.11218843;3.960630066;15.8779094;11.09815868;11.09626519;10.9597434;1
18.16957517;15.91053956;4.635769154;46.24494792;40.64435768;13.36429247;2.262035966;2.283505529;3.602236348;3.391813921;3.505361616;16.28777744;11.16656138;11.16261192;11.05616291;1
19.81894107;17.27665226;4.514972032;48.5069641;42.66259035;13.59148671;2.132603743;2.183444091;4.052963863;2.761349544;3.024046637;19.9977159;11.23250754;11.2229644;11.03752216;1
20.24742473;16.80717417;5.091552253;49.45828848;41.37199167;14.74017354;2.134550813;2.186672997;3.580222921;2.809232357;3.099285336;14.744119;11.23613576;11.22861121;11.07298763;1
17.25419903;14.55864383;4.834677792;42.31325441;36.18424439;14.67932113;2.207022094;2.289481526;4.033506903;3.316789161;3.7719736;19.23976649;11.23850538;11.22452136;11.02716162;1
15.87850368;16.48615284;3.324172522;37.86308491;39.70500841;11.78600922;2.167440155;2.202379756;5.053645831;3.279932859;3.389085191;31.16892892;11.29147989;11.27925304;10.81426742;1
